-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.300s        81.32%        1.300s     869.363us          1495  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     766.456ms        47.96%     766.456ms     112.449us          6816  
                                               aten::mm         0.40%       6.327ms         0.51%       8.039ms      41.869us     469.256ms        29.36%     469.256ms       2.444ms           192  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     425.899ms        26.65%     425.899ms       1.361ms           313  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     180.679ms        11.30%     180.679ms      50.189us          3600  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.702ms         6.68%     106.702ms       1.642ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.763ms         3.80%      60.763ms       1.321ms            46  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      40.761ms         2.55%      40.761ms      36.921us          1104  
        vllm::qwen_gdn_attention_core_fused_norm_packed        26.68%     421.298ms        48.09%     759.567ms     659.347us      32.847ms         2.06%      52.697ms      45.743us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      26.147ms         1.64%      26.147ms      23.684us          1104  
                                            aten::copy_         4.12%      64.998ms         9.21%     145.493ms      11.861us      20.499ms         1.28%      20.562ms       1.676us         12267  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      15.864ms         0.99%      15.864ms       3.103us          5112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.496ms         0.91%      14.496ms       2.127us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      13.269ms         0.83%      13.269ms      36.859us           360  
                                       vllm::all_reduce         0.62%       9.829ms         0.95%      15.065ms      78.462us      10.245ms         0.64%      10.245ms      53.359us           192  
                                       vllm::all_gather         0.81%      12.715ms         1.29%      20.350ms     105.990us      10.233ms         0.64%      10.495ms      54.664us           192  
                                        cudaGraphLaunch         4.74%      74.912ms         4.87%      76.873ms      40.545us       5.139ms         0.32%       5.139ms       2.710us          1896  
