-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        5.153s        53.01%        5.153s       3.642ms          1415  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        5.090s        52.36%        5.090s        2.545s             2  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        2.450s        25.20%        2.450s     869.925us          2816  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     994.852ms        10.23%     994.852ms       5.653ms           176  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     593.800ms         6.11%     593.800ms     593.800ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     577.740ms         5.94%     577.740ms     577.740ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     239.045ms         2.46%     239.045ms      39.841ms             6  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     161.290ms         1.66%     161.290ms      76.368us          2112  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     140.459ms         1.44%     140.459ms     199.516us           704  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     119.990ms         1.23%     119.990ms     340.881us           352  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us     102.622ms         1.06%     102.622ms     194.359us           528  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      96.362ms         0.99%      96.362ms     273.755us           352  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us      79.157ms         0.81%      79.157ms     206.139us           384  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      62.419ms         0.64%      62.419ms     162.549us           384  
     triton_red_fused__to_copy_add_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      60.074ms         0.62%      60.074ms     341.332us           176  
                                       vllm::all_reduce         0.01%     677.247us         0.08%       5.114ms     730.623us      58.172ms         0.60%      60.289ms       8.613ms             7  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      46.586ms         0.48%      46.586ms     242.636us           192  
