-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     788.441ms        51.47%     788.441ms     110.861us          7112  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     710.239ms        46.37%     710.239ms     993.341us           715  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     430.680ms        28.12%     430.680ms     116.526us          3696  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     383.662ms        25.05%     383.662ms     983.749us           390  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     318.599ms        20.80%     318.599ms     980.303us           325  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     189.380ms        12.36%     189.380ms     971.180us           195  
                                       vllm::all_reduce         0.41%       6.229ms         0.63%       9.729ms      69.491us     136.146ms         8.89%     136.146ms     972.473us           140  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     100.073ms         6.53%     100.073ms       1.540ms            65  
                                        _C::marlin_gemm         0.25%       3.865ms         0.53%       8.129ms      71.310us      71.702ms         4.68%      71.702ms     628.969us           114  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      71.702ms         4.68%      71.702ms     628.969us           114  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      65.832ms         4.30%      65.832ms       1.317ms            50  
                                               aten::mm         0.11%       1.619ms         0.12%       1.860ms      71.556us      65.571ms         4.28%      65.571ms       2.522ms            26  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      42.636ms         2.78%      42.636ms      35.530us          1200  
        vllm::qwen_gdn_attention_core_fused_norm_packed        28.62%     438.604ms        51.78%     793.531ms     635.842us      27.083ms         1.77%      47.725ms      38.241us          1248  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.462ms         1.34%      20.462ms      17.052us          1200  
                                            aten::copy_         4.28%      65.589ms         9.34%     143.122ms      11.285us      20.155ms         1.32%      20.216ms       1.594us         12683  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      17.617ms         1.15%      17.617ms      69.357us           254  
