-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us        1.043s        82.02%        1.043s      37.238ms            28  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     784.440ms        61.71%     784.440ms     110.485us          7100  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     292.902ms        23.04%     292.902ms      36.613ms             8  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     235.846ms        18.55%     235.846ms      39.308ms             6  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     227.447ms        17.89%     227.447ms      37.908ms             6  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     145.721ms        11.46%     145.721ms      38.859us          3750  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     109.827ms         8.64%     109.827ms     627.584us           175  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      97.041ms         7.63%      97.041ms       1.493ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      63.151ms         4.97%      63.151ms       1.316ms            48  
                                               aten::mm         0.50%       1.452ms         0.58%       1.689ms      67.546us      63.037ms         4.96%      63.037ms       2.521ms            25  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      41.839ms         3.29%      41.839ms      36.318us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.133ms         1.58%      20.133ms      17.477us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.921ms         1.41%      17.921ms     118.680us           151  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.161ms         1.27%      16.161ms       3.035us          5325  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.023ms         0.95%      12.023ms       1.692us          7105  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      10.884ms         0.86%      10.884ms      29.023us           375  
                                       vllm::all_gather         0.78%       2.283ms         1.52%       4.426ms     170.247us       6.209ms         0.49%       6.398ms     246.059us            26  
