-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        6.295s        83.87%        6.295s        3.147s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.481s        46.39%        3.481s       3.855ms           903  
                                       vllm::all_reduce         0.34%      26.174ms         5.36%     409.530ms     789.076us        3.475s        46.30%        4.185s       8.064ms           519  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        2.124s        28.30%        2.124s       1.185ms          1792  
                 vllm::w8a8_triton_block_scaled_mm_func         0.99%      75.641ms         7.08%     540.897ms     528.220us        2.041s        27.19%        2.688s       2.625ms          1024  
                                    Command Buffer Full        62.56%        4.779s        62.56%        4.779s       1.966ms        1.854s        24.70%        1.854s     762.565us          2431  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     798.730ms        10.64%     798.730ms       7.132ms           112  
                    vllm::unified_attention_with_output         1.79%     137.072ms         1.82%     139.115ms       2.174ms     795.436ms        10.60%     803.090ms      12.548ms            64  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     659.216ms         8.78%     659.216ms     659.216ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     641.900ms         8.55%     641.900ms     641.900ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     237.468ms         3.16%     237.468ms      39.578ms             6  
                            ChunkGatedDeltaRuleFunction         1.17%      89.095ms        12.13%     926.680ms       4.826ms     187.664ms         2.50%     379.452ms       1.976ms           192  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     159.596ms         2.13%     159.596ms     118.747us          1344  
                          _C::per_token_group_fp8_quant         0.08%       6.275ms         2.18%     166.775ms     217.155us     157.907ms         2.10%     209.309ms     272.537us           768  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     124.421ms         1.66%     124.421ms     555.452us           224  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.03%       2.211ms         2.59%     197.970ms       1.547ms     124.100ms         1.65%     178.038ms       1.391ms           128  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     114.511ms         1.53%     114.511ms     255.606us           448  
                       _C::silu_and_mul_per_block_quant         0.03%       2.412ms         6.91%     527.806ms       2.062ms     114.187ms         1.52%     154.384ms     603.062us           256  
