-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     672.186ms        66.97%     672.186ms     102.032us          6588  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     668.820ms        66.63%     668.820ms      33.441ms            20  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     546.854ms        54.48%     546.854ms      34.178ms            16  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     213.122ms        21.23%     213.122ms      35.520ms             6  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     131.721ms        13.12%     131.721ms      32.930ms             4  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     112.407ms        11.20%     112.407ms      32.781us          3429  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.498ms         9.81%      98.498ms       1.515ms            65  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.667ms         6.94%      69.667ms     627.627us           111  
                                  _C::cutlass_scaled_mm         0.06%     677.800us         0.11%       1.161ms      48.378us      31.377ms         3.13%      31.377ms       1.307ms            24  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us      31.377ms         3.13%      31.377ms       1.307ms            24  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.217ms         1.91%      19.217ms      17.407us          1104  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      15.226ms         1.52%      15.226ms       3.082us          4941  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.293ms         1.13%      11.293ms       1.657us          6815  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.977ms         0.89%       8.977ms     103.180us            87  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       8.675ms         0.86%       8.675ms      35.265us           246  
                                       vllm::all_gather         0.24%       2.511ms         0.46%       4.860ms     194.385us       6.351ms         0.63%       6.546ms     261.836us            25  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.839ms         0.38%       3.839ms       3.477us          1104  
