-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       53.382s       162.10%       53.382s     105.916ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       10.344s        31.41%       10.344s     154.813us         66816  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        9.165s        27.83%        9.165s     748.756us         12240  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.806s        26.74%        8.806s     261.562us         33667  
              execute_context_104(7792)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us        2.041s         6.20%        2.041s        2.041s             1  
                                       vllm::all_gather         0.08%      23.436ms         0.14%      45.017ms     173.811us        1.109s         3.37%        1.243s       4.801ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.109s         3.37%        1.109s       4.281ms           259  
                                               aten::mm         0.05%      16.611ms         0.06%      19.519ms      75.363us     744.288ms         2.26%     752.621ms       2.906ms           259  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     733.631ms         2.23%     733.631ms       2.877ms           255  
           execute_context_22(1649)_generation_106(106)         0.00%       0.000us         0.00%       0.000us       0.000us     487.013ms         1.48%     487.013ms     487.013ms             1  
                                            aten::copy_         0.18%      56.012ms         0.54%     168.744ms      15.574us     361.101ms         1.10%     362.520ms      33.458us         10835  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     330.229ms         1.00%     330.229ms       6.590us         50112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     306.698ms         0.93%     306.698ms       8.043us         38130  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     290.293ms         0.88%     290.293ms      69.515us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     265.617ms         0.81%     265.617ms      15.901us         16704  
               execute_context_0(0)_generation_126(126)         0.00%       0.000us         0.00%       0.000us       0.000us     216.795ms         0.66%     216.795ms     108.397ms             2  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     212.296ms         0.64%     212.296ms     106.148ms             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     204.268ms         0.62%     204.268ms     788.681us           259  
