-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       41.469s       156.15%       41.469s      82.280ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       10.016s        37.71%       10.016s     149.903us         66816  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.659s        32.61%        8.659s     257.207us         33667  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        3.608s        13.59%        3.608s     293.657us         12288  
               execute_context_99(7399)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.856s         6.99%        1.856s        1.856s             1  
                                       vllm::all_gather         0.09%      22.982ms         0.18%      44.631ms     172.319us        1.117s         4.21%        1.247s       4.816ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.117s         4.21%        1.117s       4.313ms           259  
           execute_context_28(2116)_generation_100(100)         0.00%       0.000us         0.00%       0.000us       0.000us     578.599ms         2.18%     578.599ms     578.599ms             1  
                                  _C::cutlass_scaled_mm         0.03%       7.167ms         0.05%      12.090ms      46.681us     380.115ms         1.43%     381.693ms       1.474ms           259  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     376.172ms         1.42%     376.172ms       1.469ms           256  
                                            aten::copy_         0.22%      55.209ms         0.66%     163.000ms      15.693us     358.051ms         1.35%     358.738ms      34.537us         10387  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     355.851ms         1.34%     355.851ms       7.101us         50112  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     340.080ms         1.28%     340.080ms      85.020ms             4  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     305.561ms         1.15%     305.561ms      73.171us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     294.399ms         1.11%     294.399ms      17.624us         16704  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     202.967ms         0.76%     202.967ms     783.657us           259  
                                           aten::argmax         0.03%       6.585ms         0.05%      11.483ms      43.332us     150.029ms         0.56%     150.029ms     566.149us           265  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.794ms         0.56%     149.794ms     578.356us           259  
