-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(6272)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.568s        75.23%        3.568s        3.568s             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.124s        65.87%        3.124s       2.421ms          1290  
                                       vllm::all_reduce         0.01%       1.166ms         0.77%     112.107ms     421.453us        3.090s        65.16%        3.090s      11.618ms           266  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        1.068s        22.53%        1.068s     417.290us          2560  
                execute_context_1(1542)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     892.127ms        18.81%     892.127ms     446.063ms             2  
                 vllm::w8a8_triton_block_scaled_mm_func         0.02%       2.878ms         1.75%     255.194ms     498.426us     847.879ms        17.88%     847.879ms       1.656ms           512  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     573.515ms        12.09%     573.515ms      35.845ms            16  
                            ChunkGatedDeltaRuleFunction         0.01%       1.294ms         6.72%     979.988ms      10.208ms      75.079ms         1.58%      76.238ms     794.149us            96  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      67.962ms         1.43%      67.962ms      35.397us          1920  
                          _C::per_token_group_fp8_quant         0.02%       2.945ms         1.63%     237.827ms     619.341us      63.489ms         1.34%      77.865ms     202.774us           384  
                    vllm::unified_attention_with_output         0.00%     198.035us         0.07%      10.693ms     334.160us      57.686ms         1.22%      57.686ms       1.803ms            32  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      57.686ms         1.22%      57.686ms       1.803ms            32  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.017ms         1.08%      51.017ms     159.428us           320  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%     413.248us         0.96%     139.459ms       2.179ms      50.180ms         1.06%      50.180ms     784.061us            64  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      45.466ms         0.96%      45.466ms      71.041us           640  
                       _C::silu_and_mul_per_block_quant         0.01%       1.069ms         0.91%     132.248ms       1.033ms      44.640ms         0.94%      56.994ms     445.266us           128  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      43.959ms         0.93%      43.959ms      91.581us           480  
